Epoch,Dropout 0.0,Dropout 0.1,Dropout 0.3,Dropout 0.6,Dropout 0.9
1,506.5127,552.1941,520.4138,526.4246,583.7864
2,185.1211,206.3759,202.0605,216.638,346.7008
3,117.7464,135.7225,135.8467,157.2514,310.4369
4,87.1531,91.3377,108.5357,133.346,296.5207
5,71.2278,82.3391,92.0295,120.8111,289.9904
6,60.1341,74.5252,81.1507,112.0705,285.9659
7,51.485,72.2625,73.4041,106.1548,276.0553
8,36.5583,70.4085,66.7491,101.796,269.9506
9,32.1941,68.2278,61.6319,98.4071,266.4359
10,28.4044,67.597,57.6999,86.2793,267.2004
11,27.1051,67.4443,53.7381,82.3937,264.9605
12,26.6808,67.323,41.7561,80.6077,264.845
13,26.5613,67.2134,38.7411,78.8038,263.977
14,26.5311,67.0694,35.6848,76.0434,265.7527
15,26.5235,67.0092,35.0124,75.2376,265.0458
16,26.5216,67.2051,34.1872,74.3066,264.1841
17,26.5212,67.0288,33.8547,74.5162,265.5816
18,26.5211,67.0794,33.6674,73.9305,264.2137
19,26.521,67.0748,33.8147,74.0118,264.5005
20,26.521,67.2098,33.707,73.8167,265.1074
21,26.521,67.0428,33.6746,73.7372,264.6408
22,26.521,67.0796,33.6798,73.6803,265.5608
23,26.521,67.1297,33.5723,73.64,265.1993
24,26.521,67.0374,33.5602,73.6538,264.7265
25,26.521,67.1536,33.5291,73.5401,264.7135
26,26.521,67.1808,33.4766,73.7099,264.7227
27,26.521,67.0081,33.4172,73.4267,265.2734
28,26.521,67.1026,33.4497,73.8174,264.9122
29,26.521,67.1627,33.4732,73.7563,264.9597
30,26.521,67.1276,33.4325,73.7196,265.1609
31,26.521,67.1292,33.4527,73.45,265.3232
32,26.521,67.0988,33.3626,73.6015,264.604
33,26.521,67.1079,33.3463,73.6217,265.1961
34,26.521,67.0553,33.4189,73.7655,265.381
35,26.521,67.0371,33.5176,73.7406,264.8388
36,26.521,67.1027,33.3574,73.8063,264.4534
37,26.521,67.1349,33.436,73.5662,264.5652
38,26.521,67.044,33.5632,73.606,265.2451
39,26.521,67.1721,33.472,73.5904,265.4995
40,26.521,67.0866,33.3989,73.6153,264.6571
